2018-09-24 16:00:03 [  2,A]	Signal name: Boundary_bottom_HLB
2018-09-24 16:00:03 [  2,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  2,D]	Signal len: 8
2018-09-24 16:00:03 [  2,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  2,G]	Signal Factor: 0.1
2018-09-24 16:00:03 [  2,H]	Signal Offset: -10
2018-09-24 16:00:03 [  2,I]	Signal min: -10
2018-09-24 16:00:03 [  2,I]	Signal max: 10
2018-09-24 16:00:03 [  3,A]	Signal name: Boundary_left_hand_HLB
2018-09-24 16:00:03 [  3,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  3,D]	Signal len: 12
2018-09-24 16:00:03 [  3,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  3,G]	Signal Factor: 0.1
2018-09-24 16:00:03 [  3,H]	Signal Offset: -20
2018-09-24 16:00:03 [  3,I]	Signal min: -20
2018-09-24 16:00:03 [  3,I]	Signal max: 20
2018-09-24 16:00:03 [  4,A]	Signal name: Boundary_right_hand_HLB
2018-09-24 16:00:03 [  4,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  4,D]	Signal len: 12
2018-09-24 16:00:03 [  4,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  4,G]	Signal Factor: 0.1
2018-09-24 16:00:03 [  4,H]	Signal Offset: -20
2018-09-24 16:00:03 [  4,I]	Signal min: -20
2018-09-24 16:00:03 [  4,I]	Signal max: 20
2018-09-24 16:00:03 [  5,A]	Signal name: Busy_Scene
2018-09-24 16:00:03 [  5,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  5,D]	Signal len: 1
2018-09-24 16:00:03 [  5,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  5,G]	Signal Factor: 1
2018-09-24 16:00:03 [  5,H]	Signal Offset: 0
2018-09-24 16:00:03 [  5,I]	Signal min: 0
2018-09-24 16:00:03 [  5,I]	Signal max: 1
2018-09-24 16:00:03 [  6,A]	Signal name: Left_Target_Change
2018-09-24 16:00:03 [  6,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  6,D]	Signal len: 1
2018-09-24 16:00:03 [  6,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  6,G]	Signal Factor: 1
2018-09-24 16:00:03 [  6,H]	Signal Offset: 0
2018-09-24 16:00:03 [  6,I]	Signal min: 0
2018-09-24 16:00:03 [  6,I]	Signal max: 1
2018-09-24 16:00:03 [  7,A]	Signal name: Object_Distance_HLB
2018-09-24 16:00:03 [  7,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  7,D]	Signal len: 8
2018-09-24 16:00:03 [  7,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  7,G]	Signal Factor: 2
2018-09-24 16:00:03 [  7,H]	Signal Offset: 0
2018-09-24 16:00:03 [  7,I]	Signal min: 0
2018-09-24 16:00:03 [  7,I]	Signal max: 400
2018-09-24 16:00:03 [  8,A]	Signal name: Right_Target_Change
2018-09-24 16:00:03 [  8,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  8,D]	Signal len: 1
2018-09-24 16:00:03 [  8,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  8,G]	Signal Factor: 1
2018-09-24 16:00:03 [  8,H]	Signal Offset: 0
2018-09-24 16:00:03 [  8,I]	Signal min: 0
2018-09-24 16:00:03 [  8,I]	Signal max: 1
2018-09-24 16:00:03 [  9,A]	Signal name: Status_Bottom_HLB
2018-09-24 16:00:03 [  9,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [  9,D]	Signal len: 2
2018-09-24 16:00:03 [  9,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [  9,G]	Signal Factor: 1
2018-09-24 16:00:03 [  9,H]	Signal Offset: 0
2018-09-24 16:00:03 [  9,I]	Signal min: 0
2018-09-24 16:00:03 [  9,I]	Signal max: 3
2018-09-24 16:00:03 [ 10,A]	Signal name: Status_Left_Hand_HLB
2018-09-24 16:00:03 [ 10,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [ 10,D]	Signal len: 2
2018-09-24 16:00:03 [ 10,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 10,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 10,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 10,I]	Signal min: 0
2018-09-24 16:00:03 [ 10,I]	Signal max: 3
2018-09-24 16:00:03 [ 11,A]	Signal name: Status_Object_Distance_HLB
2018-09-24 16:00:03 [ 11,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [ 11,D]	Signal len: 2
2018-09-24 16:00:03 [ 11,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 11,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 11,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 11,I]	Signal min: 0
2018-09-24 16:00:03 [ 11,I]	Signal max: 3
2018-09-24 16:00:03 [ 12,A]	Signal name: Status_Right_Hand_HLB
2018-09-24 16:00:03 [ 12,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [ 12,D]	Signal len: 2
2018-09-24 16:00:03 [ 12,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 12,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 12,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 12,I]	Signal min: 0
2018-09-24 16:00:03 [ 12,I]	Signal max: 3
2018-09-24 16:00:03 [ 13,A]	Signal name: Too_Many_Cars
2018-09-24 16:00:03 [ 13,B]	Message name: AHBC_Gradual
2018-09-24 16:00:03 [ 13,D]	Signal len: 1
2018-09-24 16:00:03 [ 13,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 13,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 13,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 13,I]	Signal min: 0
2018-09-24 16:00:03 [ 13,I]	Signal max: 1
2018-09-24 16:00:03 [ 14,A]	Signal name: Binary_high_low_beam_decision
2018-09-24 16:00:03 [ 14,B]	Message name: AHBC_high_low_beam
2018-09-24 16:00:03 [ 14,D]	Signal len: 2
2018-09-24 16:00:03 [ 14,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 14,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 14,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 14,I]	Signal min: 0
2018-09-24 16:00:03 [ 14,I]	Signal max: 3
2018-09-24 16:00:03 [ 15,A]	Signal name: Reasons_for_switch_to_low_beam
2018-09-24 16:00:03 [ 15,B]	Message name: AHBC_high_low_beam
2018-09-24 16:00:03 [ 15,D]	Signal len: 9
2018-09-24 16:00:03 [ 15,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 15,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 15,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 15,I]	Signal min: 0
2018-09-24 16:00:03 [ 15,I]	Signal max: 511
2018-09-24 16:00:03 [ 16,A]	Signal name: Dusk_Time_Indicator
2018-09-24 16:00:03 [ 16,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 16,D]	Signal len: 1
2018-09-24 16:00:03 [ 16,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 16,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 16,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 16,I]	Signal min: 0
2018-09-24 16:00:03 [ 16,I]	Signal max: 1
2018-09-24 16:00:03 [ 17,A]	Signal name: Failsafe
2018-09-24 16:00:03 [ 17,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 17,D]	Signal len: 1
2018-09-24 16:00:03 [ 17,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 17,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 17,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 17,I]	Signal min: 0
2018-09-24 16:00:03 [ 17,I]	Signal max: 1
2018-09-24 16:00:03 [ 18,A]	Signal name: FCW_on
2018-09-24 16:00:03 [ 18,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 18,D]	Signal len: 1
2018-09-24 16:00:03 [ 18,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 18,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 18,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 18,I]	Signal min: 0
2018-09-24 16:00:03 [ 18,I]	Signal max: 1
2018-09-24 16:00:03 [ 19,A]	Signal name: Headway_measurement
2018-09-24 16:00:03 [ 19,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 19,D]	Signal len: 7
2018-09-24 16:00:03 [ 19,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 19,G]	Signal Factor: 0.1
2018-09-24 16:00:03 [ 19,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 19,I]	Signal min: 0
2018-09-24 16:00:03 [ 19,I]	Signal max: 9.9
2018-09-24 16:00:03 [ 20,A]	Signal name: Headway_valid
2018-09-24 16:00:03 [ 20,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 20,D]	Signal len: 1
2018-09-24 16:00:03 [ 20,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 20,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 20,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 20,I]	Signal min: 0
2018-09-24 16:00:03 [ 20,I]	Signal max: 1
2018-09-24 16:00:03 [ 21,A]	Signal name: Headway_Warning_Level
2018-09-24 16:00:03 [ 21,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 21,D]	Signal len: 2
2018-09-24 16:00:03 [ 21,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 21,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 21,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 21,I]	Signal min: 0
2018-09-24 16:00:03 [ 21,I]	Signal max: 3
2018-09-24 16:00:03 [ 22,A]	Signal name: Lanes_On
2018-09-24 16:00:03 [ 22,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 22,D]	Signal len: 1
2018-09-24 16:00:03 [ 22,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 22,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 22,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 22,I]	Signal min: 0
2018-09-24 16:00:03 [ 22,I]	Signal max: 1
2018-09-24 16:00:03 [ 23,A]	Signal name: Left_Crossing
2018-09-24 16:00:03 [ 23,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 23,D]	Signal len: 1
2018-09-24 16:00:03 [ 23,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 23,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 23,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 23,I]	Signal min: 0
2018-09-24 16:00:03 [ 23,I]	Signal max: 1
2018-09-24 16:00:03 [ 24,A]	Signal name: Left_LDW_ON
2018-09-24 16:00:03 [ 24,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 24,D]	Signal len: 1
2018-09-24 16:00:03 [ 24,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 24,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 24,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 24,I]	Signal min: 0
2018-09-24 16:00:03 [ 24,I]	Signal max: 1
2018-09-24 16:00:03 [ 25,A]	Signal name: Maintenanc
2018-09-24 16:00:03 [ 25,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 25,D]	Signal len: 1
2018-09-24 16:00:03 [ 25,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 25,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 25,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 25,I]	Signal min: 0
2018-09-24 16:00:03 [ 25,I]	Signal max: 1
2018-09-24 16:00:03 [ 26,A]	Signal name: Night_Time_Indicator
2018-09-24 16:00:03 [ 26,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 26,D]	Signal len: 1
2018-09-24 16:00:03 [ 26,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 26,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 26,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 26,I]	Signal min: 0
2018-09-24 16:00:03 [ 26,I]	Signal max: 1
2018-09-24 16:00:03 [ 27,A]	Signal name: Peds_FCW
2018-09-24 16:00:03 [ 27,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 27,D]	Signal len: 1
2018-09-24 16:00:03 [ 27,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 27,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 27,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 27,I]	Signal min: 0
2018-09-24 16:00:03 [ 27,I]	Signal max: 1
2018-09-24 16:00:03 [ 28,A]	Signal name: Peds_in_DZ
2018-09-24 16:00:03 [ 28,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 28,D]	Signal len: 1
2018-09-24 16:00:03 [ 28,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 28,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 28,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 28,I]	Signal min: 0
2018-09-24 16:00:03 [ 28,I]	Signal max: 1
2018-09-24 16:00:03 [ 29,A]	Signal name: Right_Crossing
2018-09-24 16:00:03 [ 29,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 29,D]	Signal len: 1
2018-09-24 16:00:03 [ 29,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 29,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 29,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 29,I]	Signal min: 0
2018-09-24 16:00:03 [ 29,I]	Signal max: 1
2018-09-24 16:00:03 [ 30,A]	Signal name: Right_LDW_ON
2018-09-24 16:00:03 [ 30,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 30,D]	Signal len: 1
2018-09-24 16:00:03 [ 30,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 30,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 30,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 30,I]	Signal min: 0
2018-09-24 16:00:03 [ 30,I]	Signal max: 1
2018-09-24 16:00:03 [ 31,A]	Signal name: Sound_type
2018-09-24 16:00:03 [ 31,B]	Message name: C2_Display_and_warning
2018-09-24 16:00:03 [ 31,D]	Signal len: 3
2018-09-24 16:00:03 [ 31,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 31,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 31,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 31,I]	Signal min: 0
2018-09-24 16:00:03 [ 31,I]	Signal max: 1
2018-09-24 16:00:03 [ 32,A]	Signal name: Suppress
2018-09-24 16:00:03 [ 32,B]	Message name: C2_Display_and_warning
