Message;ID;Node;ID-Format;DLC [Byte];Tx Method;Cycle Time;Comment;TpTxIndex;NmMessage;GenMsgStartDelayTime;GenMsgSendType;GenMsgNrOfRepetition;GenMsgILSupport;GenMsgFastOnStart;GenMsgDelayTime;GenMsgCycleTimeFast;GenMsgCycleTime;DiagState;DiagResponse;DiagRequest
AHBC_Gradual;0x729;Gen;CAN Standard;7;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
AHBC_high_low_beam;0x728;Gen;CAN Standard;3;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
C2_Display_and_warning;0x700;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Car_Info;0x760;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Detils_Lane;0x669;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Fixed_FOE;0x650;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Lane;0x737;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
LKA_left_lane_A;0x766;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
LKA_left_lane_B;0x767;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
LKA_right_lane_A;0x768;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
LKA_right_lane_B;0x769;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_A;0x76C;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_B;0x76D;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_E;0x770;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_F;0x771;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_I;0x774;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_J;0x775;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_M;0x778;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Left_N;0x779;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_C;0x76E;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_D;0x76F;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_G;0x772;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_H;0x773;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_K;0x776;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_L;0x777;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_O;0x77A;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Next_lane_Right_P;0x77B;Gen;CAN Standard;4;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Numebr_of_next_lane;0x76B;Gen;CAN Standard;1;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
